start_date,model,sql_dialect,type,metric,value_simple,value_moderate,value_challenging,value_total
2026-05-07 13:07:43,nemotron-3-nano-30b-a3b,SQLite,Baseline,EX,43.92,21.6,12.75,26.4
2026-05-07 13:10:55,nemotron-3-nano-30b-a3b,SQLite,Baseline,R-VES,42.74,20.84,12.47,25.62
2026-05-07 13:11:27,nemotron-3-nano-30b-a3b,SQLite,Baseline,Soft-F1,47.05,25.16,17.29,30.03
2026-05-07 13:11:58,nemotron-3-nano-30b-a3b,SQLite,Dyn-examples & rerank-examples,EX,43.24,19.2,18.63,26.2
2026-05-07 13:14:09,nemotron-3-nano-30b-a3b,SQLite,Dyn-examples & rerank-examples,R-VES,42.32,18.34,18.09,25.38
2026-05-07 13:14:40,nemotron-3-nano-30b-a3b,SQLite,Dyn-examples & rerank-examples,Soft-F1,45.33,22.25,23.45,29.33
2026-05-07 13:15:12,nemotron-3-super-120b-a12b,SQLite,Baseline,EX,52.7,20.8,19.61,30.0
2026-05-07 13:17:50,nemotron-3-super-120b-a12b,SQLite,Baseline,R-VES,50.87,19.93,18.71,28.84
2026-05-07 13:18:22,nemotron-3-super-120b-a12b,SQLite,Baseline,Soft-F1,55.26,24.71,21.52,33.1
2026-05-07 13:27:18,nemotron-3-super-120b-a12b,SQLite,Dyn-examples & rerank-examples,EX,54.05,23.2,17.65,31.2
2026-05-07 13:30:29,nemotron-3-super-120b-a12b,SQLite,Dyn-examples & rerank-examples,R-VES,52.32,22.12,17.47,30.11
2026-05-07 13:31:01,nemotron-3-super-120b-a12b,SQLite,Dyn-examples & rerank-examples,Soft-F1,55.96,25.7,25.11,34.54
2026-05-07 13:41:26,mistral-medium-3.5-128b,SQLite,Dyn-examples & rerank-examples,EX,46.62,23.6,19.61,29.6
2026-05-07 13:43:27,mistral-medium-3.5-128b,SQLite,Dyn-examples & rerank-examples,R-VES,45.68,22.19,18.42,28.37
2026-05-07 13:43:58,mistral-medium-3.5-128b,SQLite,Dyn-examples & rerank-examples,Soft-F1,49.64,27.33,21.63,32.77
2026-05-07 13:47:31,Mistral-7B-Instruct-v0.3,SQLite,Baseline,EX,20.95,7.2,2.94,10.4
2026-05-07 13:49:34,Mistral-7B-Instruct-v0.3,SQLite,Baseline,R-VES,20.47,6.98,2.08,9.97
2026-05-07 13:50:05,Mistral-7B-Instruct-v0.3,SQLite,Baseline,Soft-F1,23.51,9.05,3.51,12.2
2026-05-07 13:50:36,mistral-medium-3.5-128b,SQLite,Baseline,EX,43.24,22.4,19.61,28.0
2026-05-07 13:52:39,mistral-medium-3.5-128b,SQLite,Baseline,R-VES,42.48,20.92,18.36,26.78
2026-05-07 13:53:10,mistral-medium-3.5-128b,SQLite,Baseline,Soft-F1,47.39,25.65,22.71,31.48
2026-05-07 13:57:47,Mistral-7B-Instruct-v0.3,SQLite,Dyn-examples & rerank-examples,EX,27.7,8.4,3.92,13.2
